Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,O,#,#,↑,←,P,#,O,O
# O,#,P,O,O,↑,←,O,O,O
# S,→,→,→,→,→,↑,O,#,O
# O,O,O,D,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

45,2,1,0,0,0,34,0.142,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,P,O,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,O,O,D,O,#,↓,O
# O,O,O,#,#,O,#,#,↓,O
# O,#,O,O,O,O,#,#,↓,O
# O,#,O,O,#,#,O,#,↓,O
# O,O,#,O,O,#,#,O,→,E
# O,O,#,O,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

46,1,4,59,0,3,222,0.113,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,#,P,#,O
# O,O,O,P,O,O,D,→,→,E
# O,O,O,→,→,→,→,↑,O,O
# O,O,O,↑,O,D,O,#,O,O
# O,#,O,↑,#,#,O,#,O,O
# O,#,O,↑,O,O,O,#,O,O
# S,→,→,↑,#,#,#,O,O,O
# O,#,O,#,#,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

47,2,1,0,0,0,22,0.157,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,#,O,O,O,O
# O,O,#,O,O,O,#,O,#,O
# O,O,O,O,O,O,D,#,#,O
# O,O,O,O,#,#,→,→,→,E
# S,→,→,→,→,→,↑,O,O,O
# O,P,O,O,O,O,#,#,O,O
# O,O,#,O,#,O,O,#,#,O
# O,#,#,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

48,3,1,0,0,0,30,0.136,0.8012818
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,P,O,O,O,O,D,O
# O,O,#,→,→,→,→,→,→,E
# O,O,#,↑,O,#,O,#,#,O
# O,O,O,↑,O,O,O,#,O,O
# O,#,O,↑,O,O,#,O,O,O
# O,O,#,↑,#,O,#,O,O,O
# S,→,→,↑,O,#,O,O,#,O
# O,O,O,O,#,O,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

49,2,1,6,0,0,66,0.128,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,#,O,O,O,#,#,O,O
# S,↓,P,#,O,O,#,O,O,O
# O,→,→,→,→,→,→,↓,→,E
# O,O,#,O,#,O,P,↓,↑,O
# O,O,O,#,O,#,#,↓,↑,O
# O,#,O,#,O,O,#,↓,↑,O
# O,#,#,O,#,#,O,→,↑,O
# O,O,O,O,O,O,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

50,1,1,7,0,0,54,0.106,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,#,#,P,O,O
# O,O,O,#,O,#,→,→,→,E
# S,→,→,→,↓,#,↑,D,O,O
# O,O,O,O,↓,O,↑,O,O,O
# O,O,O,D,→,→,↑,#,#,O
# O,#,O,O,P,#,O,#,#,O
# O,O,O,#,#,#,O,O,O,O
# O,O,#,#,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

51,2,1,0,0,0,26,0.135,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,#,#,#,#,O,O
# O,O,O,#,O,O,O,O,O,O
# O,O,O,O,O,#,O,O,O,O
# O,#,#,O,O,O,#,#,#,O
# O,#,#,#,#,O,P,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,#,#,#,O,O,O,D,→,E
# O,O,O,O,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

52,3,1,0,0,0,30,0.137,0.7976188
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,O,D,O
# O,O,#,O,#,O,O,O,→,E
# O,#,O,O,O,#,O,#,↑,O
# O,#,#,O,#,#,#,O,↑,O
# O,#,O,O,#,#,O,P,↑,O
# O,O,O,P,O,O,O,→,↑,O
# S,→,→,→,→,→,→,↑,#,O
# O,O,#,O,O,O,#,D,#,O
# O,O,O,O,O,O,O,O,O,O

53,2,3,53,1,2,242,0.137,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,#,P,#,O
# S,→,→,→,→,→,→,↓,#,O
# O,O,O,O,O,↓,←,←,O,O
# O,#,#,#,#,↓,D,O,O,O
# O,O,#,O,O,→,↓,O,#,O
# O,O,#,O,O,#,↓,O,D,O
# O,O,O,#,O,O,→,→,→,E
# O,O,O,O,O,#,P,#,#,O
# O,O,O,O,O,O,O,O,O,O

54,1,2,20,0,1,124,0.105,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,O,O,O,O
# S,→,→,→,→,↓,#,O,O,O
# O,O,O,O,#,↓,O,O,O,O
# O,O,O,O,#,↓,O,#,O,O
# O,O,#,O,O,↓,O,#,O,O
# O,O,#,#,O,↓,#,D,#,O
# O,#,#,#,#,→,→,→,→,E
# O,#,O,#,O,P,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

55,2,1,0,0,0,24,0.125,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,O,O,#,O
# O,#,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,#,O,D,O
# S,→,→,→,→,→,→,→,→,E
# O,#,P,O,#,O,#,O,O,O
# O,O,O,#,#,O,O,O,O,O
# O,O,#,#,#,#,O,#,O,O
# O,O,O,#,#,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

56,1,1,13,0,0,70,0.115,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,O,#,O
# O,#,O,O,O,#,#,O,#,O
# O,O,O,O,#,#,O,#,O,O
# O,D,O,O,#,#,#,O,O,O
# O,→,→,→,→,→,→,→,→,E
# O,↑,O,#,#,O,#,O,O,O
# O,↑,←,O,O,#,O,O,#,O
# S,→,↑,P,O,O,O,O,#,O
